"1 & 2 Corinthians","Dewey,Bertolini;Larry,Richards Ph.D.","* The Corinthians &  You: Get the How-To's of Faith & Relationships
* Understand Spirituals Gifts, Real Love, Resolving Conflict & More
* Discover How Paul's Message to the Church Will Change Your Life & the Church","Bible Study","9781418510138","English"
"1 & 2 Timothy"," Max,Lucado","A bible study of 1 & 2 Timothy for individuals or small groups","Bible Study","9781418509545","English"
"1 & 2 Timothy/Titus"," Rev. David R.,Veerman","13 Lessons to encourage us to be godly leaders","Bible Study","9781414326528","English"
"536 Puzzles And Curious Problems"," Henry Ernest,Dudeney","Lots of challenging mathematical puzzles.","Puzzles","671-5488","English"
"80386 Programmer`s Reference Manual","Intel,Staff","That 83-86 is an advanced 32-bit microprocessor optimized for multitasking operating systems and design for applications needing very high performance. The 32-bit registers and data pass support 32-bit addresses and data types the processor can address up to 4GB of physical memory and 64GB (2^46) bytes of virtual memory.","Programming","1555120229","English"
"Assembler Inside And Out"," Harley,Hahn","This book is structured to be abuse to all Assembly language programmers novice or advanced. If you are familiar with the basic Assembly language and number systems you can skip right to the chapters of immediate interest.","Programming","00788-18427","English"
"Assignments In Exposition"," Louise e.,Rorabacher","Learning to write a composition","Writing","PE149.R519598","English"
"C/C++ Programming Techniques","Microsoft,Staff","Programming techniques describes how to take advantage of several features of Microsoft C C plus plus. The topics covered by this manual include language extensions, special-purpose Library functions, and the interaction between programming strategies and compiler options.","Programming","LN247751191","English"
"C++ For Dummies"," Stephen Randy,Davis","And easy to understand reference for c++","Programming","9780764568527","English"
"C For Yourself"," Staff,Microsoft","A book on programming c written by Microsoft","Programming","410840021","English"
"Circuit design for audio, am/fm, and TV","Texas instruments Incorporated,Semiconductor - components division","Here is the fifth book in the popular Texas instruments electronic series which brings you the latest advances in electronic design and application. This volume deals with circuit design and the audio AM/FM and television areas and represents the results of several years of research and development by Texas instruments communication application engineers.","Design","6712332","English"
"Colorado Backup User's Guide"," Staff,Hewlett Packard","Uses guide for Colorado backup tape system","Manual","99996","English"
"Commodore 64 User'S Guide"," Commodore,Business Machines","How to use commodore 64","Manual","004000003454","English"
"C++ Primer"," Stanley b.,Lippman","This book provides a comprehensive introduction of c++ as reflected in the latest release.","Programming","0201548488","English"
"Data Structures And Program Design In C"," Robert L.,Kruse","Understanding and using structures in the c language","Programming","0137256493","English"
"DC motor speed controls servo systems","Electro craft corporation,Staff","A book on designing servo control systems","Design","99982","English"
"Design Patterns","Erich,Gamma;Richard,Helm;Ralph,Johnson","This is a book of the same patterns that describe simple and elegant solutions to specific problems in object-oriented software design. Design patterns capture solutions that have developed and evolved over time. Hence they aren't the design people tend to generate an initially they reflect Untold redesign and recoating as developers have struggled for greater reuse and flexibility in their software. Design patterns capture these Solutions in this successive and easily applied form.","Programming","0201633612","English"
"Digital signal processing","Allen v.,Oppenheim;Ronald w.,Schafer","Digital signal processing is concerned with a representation of signals by sequences of numbers or symbols and the processing of the sequences the purpose of such process may be to estimate characteristic parameters of a signal or to transform a signal into a form which in some sense more desirable","Design","0132146355","English"
"Divorced and Dating","Reese,James","A collection cartoons centers around divorce and dating.","Humor","99974","English"
"Ecclesiastes, Chasing After Meaning"," Bill & Teresa,Syrios","12 Studies for Individuals or groups","Bible Study","9780830830278","English"
"Effective C++"," Scott,Meyes","50 specific ways to improve your programming and designs","Programming","0201563649","English"
"Electromagnetics","John d.,Krause PhD","It is the purpose of this book to present the basic principles of electromagnetic field theory with approximately equal emphasis on the various branches that find application and such diverse areas as Electronics power radiation and propagation.","Electronic engineering, Textbook","527440","English"
"Electronic amplifiers circuits","Malcolm Myers,McWhorter;Joseph Mayo,Pettit","Because of the importance of amplifiers in the electronic art, we have tried to produce a work which will be abused to both students and engineers who have a need for a second look at amplifier theory from a more advanced point of view.","Design, Textbook","617846","English"
"Electronics and image sensors"," Texas instruments,Staff","CCD sensors optic couplers are are emitters intelligent displays and photo transistors","Data book","99990","English"
"Electronic switching, timing, and pulse circuits","Joseph Mayo,Pettit","The subject matter of this book is more far-reaching than can be suggested in a brief title. This is a book about circuits in which electronic devices whether tube or transistor is used primarily as a switch with waveform that are most part non- sinusoidal.","Electronic engineering, Textbook","599992","English"
"Essential CVS"," Jennifer,Vesperman","A handbook to learn CVS. A revision control system.","Programming","0596004591","English"
"Exodus Learning To Trust God"," James,Reapsome","A bible study of the book of Exodus","Bible Study","0830830235","English"
"F a x facsimile technology and applications handbook","Dennis,Bodson;Kenneth,McConnell;Richard,Schaphorst","Although fax was patented in 1843, fax machines did not come into widespread use until the 1970s. In 1981 when the international telegraph and telephone consultive committee CC TTT adopted the group treats digital fax standard the picture changed fax machine manufacturers began building units to a worldwide standard businesses found them so useful that the demand drove the production into high gear and by the mid 1980s the boom was in full swing.","Design","08900-64955","English"
"General Chemistry","P. W.,Selwood","This book, like the previous editions on which it is based, was written for the student whose major interest may, or may not, Lyon chemistry. With the whole field of chemistry from which to choose, I have selected those topics which appealed to me most for Effective presentation, and I have not hesitated to use whatever devices are available in an effort to arouse and maintain student interest.","Chemistry, Textbook","598697","English"
"GNU Emacs Manual","Richard M.,Stallman","This is a reference manual work e m a c s. A powerful editor.","Manual","1882114043","English"
"God'S Promises For You"," Max,Lucado","Scripture selections from Max Lucado","Devotional","9781404113510","English"
"i960 cx Microprocessor User's Manual","Intel,Staff","The i960 architecture provides a card deck performance Computing model. The architecture profits from reduced instruction set computer( RISC) Concepts and through superscalar implementations includes requirements for execution of more than one instruction per clock.","User guide","270710-003","English"
"Industrial management","William r.,Spriegel","With the confident judgment that in careful analysis of management problems is to be found the hope of industry this book has been developed stress has been placed on general organization problems not only in the chapters on organization but throughout the text with a deep conviction that if a satisfactory structures be developed for any Enterprise all other faces of management are simplified.","Management, Textbook","556454","English"
"Industrial psychology","Ernest J,McCormick;Joseph,Tiffin","And up to the minute edition of a famous bestseller shows how problems of people in business and industries can be solved through the use of practical psychology.","Psychology, Textbook","5811417","English"
"Inkjet Writing Systems Design Fundamentals"," Staff,Hewlett Packard","This book takes a systems approach to discussing thermal inkjet technology and related to designing TIG writing systems a writing assistant consists of a writing device 
 device print cartridges and Media
.","Design","99994","English"
"Intel Component Data Catalog","Intel,Staff","This is a catalog up until components published in 1981","Data book","99971","English"
"Internet email protocols, standards, and implementation"," Lawrence,Hughes","This book is for anyone who is developing or planning to develop internet messaging software or even software that is messaging enabled.","Design","0890069395","English"
"Introduction to compiler construction with Unix","H.  George Jr.,Friedman;Axel T.,Schreiner","This book is a case study: how to create a compiler using generators such as yacc (LALR(1)  parser generator) and lex ( regular expression based on lexical analyzer generator), two very powerful yet reasonably easy to use tools available under the Unix system","Programming","00134743962","English"
"Introduction to the Laplace transform","Dio L.,Holl;Claire g.,Maple;Bernard,Vinograde","The purpose of this book is to give an introduction at the undergraduate level to the theory and applications of the Laplace transform.","Mathematics, Textbook","597720","English"
"Isaiah, Trusting God In Troubled Times"," Howard,Peskett","22 Studies in two parts for individuals or groups","Bible Study","9780830830299","English"
"ISDN concepts facilities and services","Gary c.,Kessler;Peter,Southwick","This book is the first introduction to some of the many aspects of the integrated services digital Network isdn. It is intended for those who must learn about isdn, but feel intimidated by all the technological jargon come commonly found in the current literature, as well as vendors implementation and application specifications.","Reference","fcc0070342490","English"
