"1 & 2 Corinthians","Richards, Dewey","* The Corinthians &  You: Get the How-To's of Faith & Relationships
* Understand Spirituals Gifts, Real Love, Resolving Conflict & More
* Discover How Paul's Message to the Church Will Change Your Life & the Church","9781418510138","English"
"1 & 2 Timothy","Lucado, Max","A bible study of 1 & 2 Timothy for individuals or small groups","9781418509545","English"
"1 & 2 Timothy/Titus","Veerman, Rev. David R.","13 Lessons to encourage us to be godly leaders","9781414326528","English"
"536 Puzzles And Curious Problems","Dudeney, Henry Ernest","Lots of challenging mathematical puzzles.","671-5488","English"
"Assembler Inside And Out","Hahn, Harley","This book is structured to be abuse to all Assembly language programmers novice or advanced. If you are familiar with the basic Assembly language and number systems you can skip right to the chapters of immediate interest.","00788-18427","English"
"Assignments In Exposition","Rorabacher, Louise e.","Learning to write a composition","PE149.R519598","English"
"C++ For Dummies","Davis, Stephen Randy","And easy to understand reference for c++","9780764568527","English"
"C For Yourself","Microsoft, Staff","A book on programming c written by Microsoft","410840021","English"
"Colorado Backup User's Guide","Hewlett Packard, Staff","Uses guide for Colorado backup tape system","99996","English"
"Commodore 64 User'S Guide","Business Machines, Commodore","How to use commodore 64","004000003454","English"
"C++ Primer","Lippman, Stanley b.","This book provides a comprehensive introduction of c++ as reflected in the latest release.","0201548488","English"
"Data Structures And Program Design In C","Kruse, Robert L.","Understanding and using structures in the c language","0137256493","English"
"Ecclesiastes, Chasing After Meaning","Syrios, Bill & Teresa","12 Studies for Individuals or groups","9780830830278","English"
"Effective C++","Meyes, Scott","50 specific ways to improve your programming and designs","0201563649","English"
"Electronics and image sensors","Staff, Texas instruments","CCD sensors optic couplers are are emitters intelligent displays and photo transistors","99990","English"
"Essential CVS","Vesperman, Jennifer","A handbook to learn CVS. A revision control system.","0596004591","English"
"Exodus Learning To Trust God","Reapsome, James","A bible study of the book of Exodus","0830830235","English"
"God'S Promises For You","Lucado, Max","Scripture selections from Max Lucado","9781404113510","English"
"Inkjet Writing Systems Design Fundamentals","Hewlett Packard, Staff","This book takes a systems approach to discussing thermal inkjet technology and related to designing TIG writing systems a writing assistant consists of a writing device 
 device print cartridges and Media
.","99994","English"
"Internet email protocols, standards, and implementation","Hughes, Lawrence","This book is for anyone who is developing or planning to develop internet messaging software or even software that is messaging enabled.","0890069395","English"
"Isaiah, Trusting God In Troubled Times","Peskett, Howard","22 Studies in two parts for individuals or groups","9780830830299","English"
"Java How To Program","Deitel, H. M.","Learning to program in Java","0130125075","English"
"Javascript & Dhtml Cookbook","Goodman, Danny","Cookbook for Javascript and DHTML","0596004672","English"
"Job , Waiting On God In Difficult Times","Parolini, Steve","A study of the book of Job  in the bible for individuals or groups","9780781406345","English"
"Judges , Returning To God","baker, Donald","12 Studies for Individuals or Groups","9780830830404","English"
"Keep Your Love On!","Silk, Danny","Learning to love by connecting, communicating and setting boundaries","9781942306061","English"
"Know Your Enemy","Fraley, Bob","We analyze our opponents in the  military, sports and Business. The Bible warns our spiritual opponent will use self-serving attractions to deceive us during our current times.","9999999","English"
"Learning Rails","Laurent, Simon","Learning Ruby on rails. A web development tool","9780596518776","English"
"Leviticus/Numbers","Shepherd, David R.","A Study of two books in the bible Leviticus and Numbers","0805490698","English"
"Lex & Yacc","Levine, John R.","Compiler design using lex and yacc","1565920007","English"
"Mark,  20 Studies For Individuals Or Groups","Wright, N. T.","A bible study of the book of Mark in the Bible","9780830821822","English"
"Matthew , The Coming Of The King","MacAuthur, John","A bible study of the book of Matthew in the bible for individuals or groups","9780718035013","English"
"Mks Toolkit","Support staff, MKS","Essential development tools for programmers","99995","English"
"Norton system works 2002","Symtec, Norton","Norton antivirus user guide","99989","English"
"Object Oriented Development The Fusion Method","Coleman, Derek","The target audience for this book is software engineers and project managers who have some familiarity with intend to try the object-oriented approach.","0133388239","English"
